www.LeisMunicipais.com.br	2
Versão consolidada, com alterações até o dia 10/07/2020	3
LEI Nº 301/1974	3
(Regulamentada pelo Decreto nº 	3
520	3
/1975)	3
DISPÕE SOBRE O CÓDIGO DE OBRAS E EDIFICAÇÕES DO MUNICÍPIO DE	0
BALNEÁRIO CAMBORIÚ, ESTADO DE SANTA CATARINA, REVOGANDO A LEI	3
Nº 128/70.	3
A Câmara Municipal de Balneário Camboriú aprovou e eu, Prefeito Municipal, sanciono a seguinte Lei:	3
TÍTULO I	3
DISPOSIÇÕES PRELIMINARES	0
CAPÍTULO ÚNICO	3
SEÇÃO ÚNICA	2
 Este Código contém as normas de polícia administrativa a cargo do Município, que limitam ou disciplinam direito, interesse	3
ou liberdade; que regulam a prática do ato ou a obtenção do fato, em razão de interesse público, concernente à segurança, à	3
higiene e ao respeito à propriedade; bem como direitos individuais e coletivos; à localização dos estabelecimentos comerciais e	3
industriais; a toda e qualquer construção, reforma, reparo, acréscimo ou demolição de edifícios, casas, edículas ou muros; ao	3
arruamento e loteamento de terrenos; ao uso específico do solo; estatuindo as necessárias relações entre o poder público local e	3
os munícipes.	3
 Pelo seu caráter de estreito relacionamento, fazem parte integrante deste Código disposições da Lei do Plano Diretor Físico	0
Territorial do Município.	3
 O Poder Executivo promoverá as providências necessárias, no sentido de dotar os órgãos municipais de estruturas, meios e	3
normas adequados ao exato cumprimento das disposições deste Código.	0
 Fazem parte integrante do presente Código:	0
I - Planta do sistema Viário;	3
II - Quadro Nº 1 - Perfis Viários;	3
III - Memorial Descritivo das Vias;	0
IV - Planta de Detalhes dos Perfis Viários;	3
V - Planta dos Zoneamentos;	3
VI - Memorial Descritivo dos Zoneamentos;	3
VII - Quadro Nº 2 - Resumo dos Zoneamentos (Utilização);	3
Art. 1º	2
Art. 2º	2
Art. 3º	2
Art. 4º	2
16/05/2024, 15:28	2
Código de Obras de Balneário Camboriú - SC	1
https://leismunicipais.com.br/a1/codigo-de-obras-balneario-camboriu-sc	2
1/119	4
VIII - Tabela dos Recuos Mínimos na Avenida Atlântica.	3
TÍTULO II	3
SISTEMA VIÁRIO BÁSICO	3
CAPÍTULO ÚNICO	3
DISPOSIÇÕES GERAIS	0
Seção Única	2
 O Sistema viário básico é determinado pelo Plano Diretor do Município, dentro de uma hierarquia de vias,	3
compreendendo:	3
I - Arterial principal (perfil 1)	3
II - Preferenciais dos anéis de tráfego (perfil 2)	3
III - Vias de Ligação (perfil 3)	3
IV - Arteriais Secundárias (perfil 4)	3
V - Vias coletoras (perfil 5)	3
VI - Vias marginais (perfil 6)	3
VII - Via turística (perfil 7)	3
VIII - Via especial (perfil 8)	3
Parágrafo Único - A localização das vias do sistema viário consta da Planta nº 01 (anexa), e os detalhes, da Planta anexa nº 02.	0
TÍTULO III	3
ZONEAMENTOS	3
CAPÍTULO I	3
DIVISÃO E SUBDIVISÃO DE ZONAS	3
Seção Única	2
 Para os efeitos do presente Código fica o Município de Balneário Camboriú dividido em área urbana, área de expansão	0
urbana e área rural.	3
§ 1º - Entende-se por área urbana aquela em que existirem edificações urbanas, pelo menos dois serviços públicos oficiais,	3
sendo o uso predominante do solo não rural.	3
§ 2º - Entende-se por área de expansão urbana aquela que o Plano Diretor indicar com essa denominação.	3
§ 3º - Entende-se por área rural aquela na qual é rural o uso predominante do solo.	3
 Fica a área urbana do Município dividida nas seguintes zonas:	0
I - Zona Comercial (ZC);	3
II - Zona Beiramar (ZB);	3
Art. 5º	2
Art. 6º	2
Art. 7º	2
16/05/2024, 15:28	2
Código de Obras de Balneário Camboriú - SC	1
https://leismunicipais.com.br/a1/codigo-de-obras-balneario-camboriu-sc	2
2/119	4
III - Zona Residencial (ZR);	3
IV - Zona Especial (ZE);	3
V - Zona Turística (ZT);	3
VI - Zona de Expansão Residencial (ZER).	3
§ 1º - A Zona Comercial (ZC) subdivide-se em três (3) partes:	3
I - Zona Comercial Principal (ZC-1);	3
II - Zona Comercial Secundária (ZC-2);	3
III - Zona de Tendência Comercial (ZC-3).	3
§ 2º - A Zona Residencial (ZR) subdivide-se em duas (2) partes:	3
I - Zona Residencial Norte (ZRN);	3
II - Zona Residencial Sul (ZRS).	3
§ 3º - A Zona Beiramar (ZB) subdivide-se em duas (2) partes:	3
I - Zona Beiramar Norte (ZBN);	3
II - Zona Beiramar Sul (ZBS).	3
§ 4º - A Zona Especial (ZE) não tem subdivisão.	3
§ 5º - A Zona Turística (ZT) não tem subdivisão.	3
§ 6º - A Zona de Expansão Residencial (ZER) subdivide-se em três (3) partes:	3
I - Zona de Expansão Residencial Centro (ZERC);	3
II - Zona de Expansão Residencial Norte (ZERN);	3
